Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
13:55,01 Dec,BRC,San Carlos de Bariloche,AR1644,Aerolineas Argentinas,Estimated,16:10
14:20,01 Dec,UAQ,San Juan,AR1422,Aerolineas Argentinas,Unknown,14:30
14:30,01 Dec,NQN,Neuquen,AR1656,Aerolineas Argentinas,Estimated,15:45
14:45,01 Dec,BRC,San Carlos de Bariloche,AR1676,Aerolineas Argentinas,Estimated,15:30
14:45,01 Dec,RES,Resistencia,AR1782,Aerolineas Argentinas,Estimated,16:40
14:55,01 Dec,USH,Ushuaia,AR1880,Aerolineas Argentinas,Departed,17:13
15:15,01 Dec,GRU,Sao Paulo,AR1242,Aerolineas Argentinas,Cancelled,15:19
15:25,01 Dec,TUC,Tucuman,AR1486,Aerolineas Argentinas,Estimated,18:10
15:40,01 Dec,IGR,Iguazu,AR1736,Aerolineas Argentinas,Cancelled,15:40
15:50,01 Dec,USH,Ushuaia,AR1886,Aerolineas Argentinas,Departed,18:36
16:00,01 Dec,PRA,Parana,AR1728,Aerolineas Argentinas,Estimated,17:00
16:15,01 Dec,MDQ,Mar Del Plata,AR1600,Aerolineas Argentinas,Estimated,18:00
16:15,01 Dec,GRU,Sao Paulo,AR1238,Aerolineas Argentinas,Departed,18:17
16:20,01 Dec,SFN,Santa Fe,AR1722,Aerolineas Argentinas,Departed,17:38
16:20,01 Dec,REL,Trelew,AR1850,Aerolineas Argentinas,Departed,18:24
16:40,01 Dec,IGR,Iguazu,AR1738,Aerolineas Argentinas,Estimated,19:20
16:45,01 Dec,BOG,Bogota,AR1360,Aerolineas Argentinas,Departed,18:41
16:50,01 Dec,FMA,Formosa,AR1760,Aerolineas Argentinas,Cancelled,17:00
17:30,01 Dec,COR,Cordoba,AR1544,Aerolineas Argentinas,Unknown,17:40
17:55,01 Dec,PSS,Posadas,AR1766,Aerolineas Argentinas,Estimated,21:00
18:00,01 Dec,COR,Cordoba,AR1506,Aerolineas Argentinas,Cancelled,18:05
18:30,01 Dec,UAQ,San Juan,AR1424,Aerolineas Argentinas,Estimated,19:10
18:30,01 Dec,MDZ,Mendoza,AR1402,Aerolineas Argentinas,Estimated,20:00
18:40,01 Dec,RSA,Santa Rosa,AR1520,Aerolineas Argentinas,Estimated,20:25
18:50,01 Dec,LIM,Lima,AR1364,Aerolineas Argentinas,Departed,20:39
19:10,01 Dec,NQN,Neuquen,AR1654,Aerolineas Argentinas,Departed,19:44
19:10,01 Dec,LUQ,San Luis,AR1432,Aerolineas Argentinas,Departed,20:13
19:25,01 Dec,MDZ,Mendoza,AR1416,Aerolineas Argentinas,Cancelled,19:30
19:30,01 Dec,COR,Cordoba,AR1500,Aerolineas Argentinas,Unknown,19:30
19:35,01 Dec,PSS,Posadas,AR1762,Aerolineas Argentinas,Estimated,20:55
20:10,01 Dec,GIG,Rio De Janeiro,AR1262,Aerolineas Argentinas,Departed,21:40
20:20,01 Dec,FLN,Florianopolis,G37693,Gol,Departed,20:52
20:35,01 Dec,ROS,Rosario,AR1708,Aerolineas Argentinas,Departed,21:24
20:40,01 Dec,BHI,Bahia Blanca,AR1622,Aerolineas Argentinas,Departed,21:47
20:40,01 Dec,MDQ,Mar Del Plata,AR1610,Aerolineas Argentinas,Cancelled,20:45
21:00,01 Dec,BRC,San Carlos de Bariloche,AR1678,Aerolineas Argentinas,Departed,22:40
21:40,01 Dec,GRU,Sao Paulo,AR1246,Aerolineas Argentinas,Departed,22:34
22:20,01 Dec,BRC,San Carlos de Bariloche,AR1686,Aerolineas Argentinas,Departed,23:11
23:55,01 Dec,ASU,Asuncion,AR1340,Aerolineas Argentinas,Departed,00:36
02:05,02 Dec,RGA,Rio Grande,AR1844,Aerolineas Argentinas,Departed,02:27
04:05,02 Dec,REL,Trelew,AR1854,Aerolineas Argentinas,Departed,04:07
04:40,02 Dec,USH,Ushuaia,AR1882,Aerolineas Argentinas,Departed,05:08
04:45,02 Dec,JUJ,Jujuy,AR1470,Aerolineas Argentinas,Departed,04:58
05:10,02 Dec,MDZ,Mendoza,AR1408,Aerolineas Argentinas,Departed,05:24
05:25,02 Dec,POA,Porto Alegre,AR1234,Aerolineas Argentinas,Departed,05:50
05:35,02 Dec,IGR,Iguazu,AR1724,Aerolineas Argentinas,Departed,05:53
06:10,02 Dec,MVD,Montevideo,AR1380,Aerolineas Argentinas,Departed,06:24
06:30,02 Dec,GRU,Sao Paulo,AR1240,Aerolineas Argentinas,Departed,06:44
06:35,02 Dec,USH,Ushuaia,AR1892,Aerolineas Argentinas,Departed,06:48
06:35,02 Dec,IGR,Iguazu,AR1734,Aerolineas Argentinas,Departed,06:46
06:50,02 Dec,MDZ,Mendoza,AR1410,Aerolineas Argentinas,Departed,07:02
07:10,02 Dec,COR,Cordoba,AR1508,Aerolineas Argentinas,Departed,07:26
07:15,02 Dec,SFN,Santa Fe,AR1720,Aerolineas Argentinas,Departed,07:25
