TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
13:15,AR1480,Tucuman (TUC),Aerolineas Argentinas,E190 (LV-CID),,Departed 13:46
13:30,AR1286,Santiago (SCL),Aerolineas Argentinas,B738 (LV-GUB),,Departed 13:47
13:30,AR1502,Mendoza (MDZ),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Departed 13:37
13:30,AR1600,Mar del Plata (MDQ),Aerolineas Argentinas,E190 (LV-GBK),,Departed 14:38
13:40,AR1666,Esquel (EQS),Aerolineas Argentinas,B38M (LV-KEJ),,Departed 14:13
13:50,AR1504,Cordoba (COR),Aerolineas Argentinas,E190 (LV-CEU),,Departed 14:36
13:50,G37665,Sao Paulo (GRU),GOL Linhas Aereas,B38M (PR-XMS),,Departed 14:06
13:55,FO5272,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KDR),,Departed 14:31
14:00,AR1772,Corrientes (CNQ),Aerolineas Argentinas,B737 (LV-CBT),,Departed 14:14
14:00,WJ3242,Mendoza (MDZ),JetSMART (South Andean Deer Livery),A320 (LV-HEK),,Departed 14:08
14:05,AR1484,Salta (SLA),Aerolineas Argentinas,E190 (LV-CIE),,Departed 14:26
14:05,AR1878,Trelew (REL),Aerolineas Argentinas,B738 (LV-GKU),,Departed 14:18
14:10,FO5310,Puerto Madryn (PMY),Flybondi,B738 (LV-KEF),,Departed 14:21
14:20,FO5016,Cordoba (COR),Flybondi,738,,Unknown
14:30,AR1830,Ushuaia (USH),Aerolineas Argentinas,B737 (LV-CBF),,Departed 14:41
14:30,FO5222,Cordoba (COR),Flybondi,738,,Unknown
14:40,AR1486,Tucuman (TUC),Aerolineas Argentinas,E190 (LV-CET),,Departed 15:21
14:40,FO5018,Cordoba (COR),Flybondi,738,,Unknown
14:45,AR1782,Resistencia (RES),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Departed 14:53
15:00,AR1414,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-FVN),,Departed 15:11
15:10,AR1440,La Rioja (IRJ),Aerolineas Argentinas,E190 (LV-CIH),,Departed 15:16
15:15,AR1242,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-GVC),,Departed 15:36
15:24,WJ3502,Tucuman (TUC),JetSMART (Culpeo Livery),A320 (LV-IVN),,Departed 15:32
15:30,AR1886,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-GUC),,Departed 15:43
15:30,FO5046,Ushuaia (USH),Flybondi,B738 (LV-KAY),,Estimated dep. 15:06
15:35,AR1420,San Juan (UAQ),Aerolineas Argentinas,E190 (LV-CKZ),,Departed 15:45
15:39,WJ3448,Neuquen (NQN),JetSMART (Jaguar Livery),A320 (LV-HVT),,Departed 15:38
15:40,AR1656,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-GKT),,Departed 16:04
15:40,AR1628,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-CPI),,Departed 16:00
15:45,FO5282,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KJF),,Departed 16:10
16:00,FO6062,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Unknown
16:05,AR1218,Brasilia (BSB),Aerolineas Argentinas,B38M (LV-HKU),,Departed 16:31
16:05,AR1850,Trelew (REL),Aerolineas Argentinas,B738 (LV-FUC),,Departed 16:13
16:24,WJ3240,Mendoza (MDZ),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Departed 17:45
16:25,AR1874,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GKS),,Departed 16:49
16:45,AR1468,Salta (SLA),Aerolineas Argentinas,E190 (LV-CHQ),,Departed 16:52
16:45,AR1360,Bogota (BOG),Aerolineas Argentinas,B737 (LV-BZO),,Departed 16:46
16:45,FO5054,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Departed 17:09
16:50,AR1760,Formosa (FMA),Aerolineas Argentinas,B737 (LV-CAD),,Departed 16:58
16:50,AR1856,Puerto Madryn (PMY),Aerolineas Argentinas,B738 (LV-FSK),,Canceled
16:55,AR1786,Resistencia (RES),Aerolineas Argentinas,E190 (LV-CDZ),,Departed 17:17
